county_name,precinct_name,yes_votes,no_votes
Adair,SOUTHWEST 1,342,159
Adair,SOUTHEAST 2,688,394
Adair,SOUTHEAST 3,374,156
Adair,SOUTHEAST 4,500,212
Adair,NORTHEAST 5,418,235
Adair,NORTHEAST 6,531,348
Adair,TSU,228,57
Adair,RURAL BENTON,774,590
Adair,BRASHEAR,321,365
Adair,NOVINGER,387,395
Adair,ABSENTEE,645,359
Adair,FEDERAL,2,0
Andrew,LINCOLN,269,184
Andrew,ROCHESTER,161,167
Andrew,HELENA,127,128
Andrew,EAST MONROE,67,112
Andrew,WEST MONROE,120,106
Andrew,CLAY/FILLMORE,151,206
Andrew,NE/SE,717,582
Andrew,NW/SW,595,486
Andrew,BEELER/JG/CC,1205,881
Andrew,BOLCKOW/RDALE/WPLT,257,234
Andrew,EPLATTE/EEMPIRE,91,112
Andrew,ABSENTEE,278,207
Atchison,TARKIO,329,289
Atchison,ROCK PORT,431,335
Atchison,FAIRFAX,203,241
Atchison,WESTBORO,69,76
Atchison,WATSON,37,30
Atchison,ABSENTEE,76,47
Audrain,MEXICO 1,410,319
Audrain,MEXICO 5,308,216
Audrain,MEXICO 6,566,359
Audrain,1 E CUIVRE,119,119
Audrain,2 FARBER,80,95
Audrain,3 LADDONIA,131,132
Audrain,4 MARTINSBURG,122,187
Audrain,6 SOUTH FORK,291,257
Audrain,10 THOMPSON,231,281
Audrain,11 FRIENDSHIP,143,166
Audrain,VANDALIA,420,370
Audrain,RUSH HILL,108,125
Audrain,COMMUNITY,472,374
Audrain,4-H,169,167
Audrain,"MEXICO 2,3,4",763,489
Audrain,ABSENTEE,266,192
Barry,EXETER,294,336
Barry,JENKINS,173,149
Barry,MONETT,892,487
Barry,ROARING RIVER,337,140
Barry,WHEATON,227,287
Barry,GOLDEN,354,152
Barry,SHELL KNOB,644,333
Barry,SELIGMAN,296,165
Barry,CASSVILLE-CITY,507,401
Barry,BUTTERFIELD/MCDONALD,229,165
Barry,CASSVILLE RURAL/MINERAL,573,609
Barry,KINGS PRAIRIE/PLEASANT RIDGE,305,289
Barry,MONETT RURAL/CAPPS CREEK,248,230
Barry,OZARK/CRANE CREEK,387,274
Barry,PURDY/MCDOWELL,382,451
Barry,WASHBURN/ASH,338,275
Barry,ABSENTEE,655,335
Barton,ABSENTEE,146,186
Barton,BARTON CITY/LEROY/OZARK,189,351
Barton,CENTRAL/NASHVILLE/NORTHFORK,162,410
Barton,CITY 1 & 2,291,500
Barton,CITY 3 & 4,254,454
Barton,DOYLESPORT/MILFORD/NEWPORT/UNION,139,355
Barton,GOLDEN CITY,164,232
Barton,LAMAR/RICHLAND,264,612
Barton,SOUTHWEST,127,99
Bates,ADRIAN NORTH (1),435,275
Bates,ADRIAN SOUTH (2),563,344
Bates,AMORET (3),132,72
Bates,AMSTERDAM (4),161,120
Bates,BALLARD (5),186,153
Bates,BUTLER 1 (6),281,225
Bates,BUTLER 2 (7),288,190
Bates,BUTLER 3 (8),370,295
Bates,BUTLER 4 (9),262,226
Bates,DREXEL (10),122,104
Bates,HUDSON (11),100,107
Bates,HUME (12),129,122
Bates,RICH HILL NORTH (13),158,141
Bates,RICH HILL SOUTH (14),210,180
Bates,ROCKVILLE (15),36,45
Bates,ABSENTEE,292,197
Benton,COLE,405,272
Benton,WILLIAMS,649,640
Benton,LINDSEY,1055,594
Benton,WHITE,420,419
Benton,UNION,313,248
Benton,TOM,614,314
Benton,FRISTOE/ALEXANDER,689,482
Benton,ABSENTEE,690,381
Bollinger,PATTON,273,384
Bollinger,SEDGEWICKVILLE,231,262
Bollinger,HURRICANE,122,160
Bollinger,SCOPUS,156,198
Bollinger,MARBLE HILL #2,670,927
Bollinger,SITZE,117,152
Bollinger,ZALMA,184,236
Bollinger,ABSENTEE,130,128
Bollinger,DRUM,111,205
Boone,1A,368,53
Boone,1B,196,40
Boone,1C & 1G,1247,167
Boone,1D,492,117
Boone,1E & 6B,607,102
Boone,1F & 1J & 1L,691,130
Boone,1I & 6F,557,135
Boone,1K & 2K,885,335
Boone,1M,520,105
Boone,2A & 2G,910,261
Boone,2B & 2J,786,230
Boone,2C & 2F,868,361
Boone,2D,840,261
Boone,2H,672,235
Boone,2I,734,276
Boone,2L & 20,525,226
Boone,3A & 3G & 3L,890,372
Boone,3B,439,120
Boone,3C,615,211
Boone,3D,896,137
