county_name,precinct_name,office_title,candidate_ballot_name,yes_votes,no_votes,,
Adair,SOUTHWEST 1,State Senator - District 18,Cindy O'Laughlin,283,,,
Adair,SOUTHEAST 2,State Senator - District 18,Cindy O'Laughlin,635,,,
Adair,SOUTHEAST 3,State Senator - District 18,Cindy O'Laughlin,194,,,
Adair,SOUTHEAST 4,State Senator - District 18,Cindy O'Laughlin,325,,,
Adair,NORTHEAST 5,State Senator - District 18,Cindy O'Laughlin,396,,,
Adair,NORTHEAST 6,State Senator - District 18,Cindy O'Laughlin,520,,,
Adair,TSU,State Senator - District 18,Cindy O'Laughlin,69,,,
Adair,RURAL BENTON,State Senator - District 18,Cindy O'Laughlin,960,,,
Adair,BRASHEAR,State Senator - District 18,Cindy O'Laughlin,527,,,
Adair,NOVINGER,State Senator - District 18,Cindy O'Laughlin,628,,,
Adair,ABSENTEE,State Senator - District 18,Cindy O'Laughlin,600,,,
Adair,FEDERAL,State Senator - District 18,Cindy O'Laughlin,0,,,
Adair,SOUTHWEST 1,State Senator - District 18,Crystal Stephens,217,,,
Adair,SOUTHEAST 2,State Senator - District 18,Crystal Stephens,454,,,
Adair,SOUTHEAST 3,State Senator - District 18,Crystal Stephens,331,,,
Adair,SOUTHEAST 4,State Senator - District 18,Crystal Stephens,393,,,
Adair,NORTHEAST 5,State Senator - District 18,Crystal Stephens,265,,,
Adair,NORTHEAST 6,State Senator - District 18,Crystal Stephens,354,,,
Adair,TSU,State Senator - District 18,Crystal Stephens,203,,,
Adair,RURAL BENTON,State Senator - District 18,Crystal Stephens,408,,,
Adair,BRASHEAR,State Senator - District 18,Crystal Stephens,163,,,
Adair,NOVINGER,State Senator - District 18,Crystal Stephens,168,,,
Adair,ABSENTEE,State Senator - District 18,Crystal Stephens,425,,,
Adair,FEDERAL,State Senator - District 18,Crystal Stephens,0,,,
Adair,SOUTHWEST 1,State Representative - District 3,Danny Busick,258,,,
Adair,SOUTHEAST 2,State Representative - District 3,Danny Busick,620,,,
Adair,SOUTHEAST 3,State Representative - District 3,Danny Busick,187,,,
