county_name,precinct_name,candidate_ballot_name,yes_votes,district
Adair,SOUTHWEST 1,Danny Busick,258,3
Adair,SOUTHEAST 2,Danny Busick,620,3
Adair,SOUTHEAST 3,Danny Busick,187,3
Adair,SOUTHEAST 4,Danny Busick,306,3
Adair,NORTHEAST 5,Danny Busick,373,3
Adair,NORTHEAST 6,Danny Busick,521,3
Adair,TSU,Danny Busick,65,3
Adair,RURAL BENTON,Danny Busick,418,3
Adair,BRASHEAR,Danny Busick,0,3
Adair,NOVINGER,Danny Busick,537,3
Adair,ABSENTEE,Danny Busick,376,3
Adair,FEDERAL,Danny Busick,0,3
Adair,SOUTHWEST 1,Joni Perry,248,3
Adair,SOUTHEAST 2,Joni Perry,474,3
Adair,SOUTHEAST 3,Joni Perry,340,3
Adair,SOUTHEAST 4,Joni Perry,415,3
Adair,NORTHEAST 5,Joni Perry,286,3
Adair,NORTHEAST 6,Joni Perry,361,3
Adair,TSU,Joni Perry,208,3
Adair,RURAL BENTON,Joni Perry,205,3
Adair,BRASHEAR,Joni Perry,0,3
Adair,NOVINGER,Joni Perry,177,3
Adair,ABSENTEE,Joni Perry,345,3
Adair,FEDERAL,Joni Perry,0,3
Adair,SOUTHWEST 1,Greg Sharpe,0,4
Adair,SOUTHEAST 2,Greg Sharpe,0,4
Adair,SOUTHEAST 3,Greg Sharpe,0,4
Adair,SOUTHEAST 4,Greg Sharpe,0,4
Adair,NORTHEAST 5,Greg Sharpe,0,4
Adair,NORTHEAST 6,Greg Sharpe,0,4
Adair,TSU,Greg Sharpe,0,4
Adair,RURAL BENTON,Greg Sharpe,607,4
Adair,BRASHEAR,Greg Sharpe,577,4
Adair,NOVINGER,Greg Sharpe,73,4
Adair,ABSENTEE,Greg Sharpe,234,4
Adair,FEDERAL,Greg Sharpe,0,4
Andrew,LINCOLN,Sheila Solon,328,9
Andrew,ROCHESTER,Sheila Solon,240,9
Andrew,HELENA,Sheila Solon,187,9
Andrew,EAST MONROE,Sheila Solon,134,9
Andrew,WEST MONROE,Sheila Solon,166,9
Andrew,CLAY/FILLMORE,Sheila Solon,272,9
Andrew,NE/SE,Sheila Solon,874,9
Andrew,NW/SW,Sheila Solon,735,9
Andrew,BEELER/JG/CC,Sheila Solon,1401,9
Andrew,BOLCKOW/RDALE/WPLT,Sheila Solon,352,9
Andrew,EPLATTE/EEMPIRE,Sheila Solon,154,9
Andrew,ABSENTEE,Sheila Solon,322,9
Andrew,LINCOLN,Bob Bergland,120,9
Andrew,ROCHESTER,Bob Bergland,92,9
Andrew,HELENA,Bob Bergland,67,9
Andrew,EAST MONROE,Bob Bergland,44,9
Andrew,WEST MONROE,Bob Bergland,55,9
Andrew,CLAY/FILLMORE,Bob Bergland,88,9
Andrew,NE/SE,Bob Bergland,421,9
Andrew,NW/SW,Bob Bergland,350,9
Andrew,BEELER/JG/CC,Bob Bergland,695,9
Andrew,BOLCKOW/RDALE/WPLT,Bob Bergland,130,9
Andrew,EPLATTE/EEMPIRE,Bob Bergland,46,9
Andrew,ABSENTEE,Bob Bergland,167,9
Atchison,TARKIO,Allen Andrews,520,1
Atchison,ROCK PORT,Allen Andrews,646,1
Atchison,FAIRFAX,Allen Andrews,378,1
Atchison,WESTBORO,Allen Andrews,121,1
Atchison,WATSON,Allen Andrews,50,1
Atchison,ABSENTEE,Allen Andrews,104,1
Atchison,TARKIO,Paul Taylor,105,1
