county_name,precinct_name,candidate_ballot_name,yes_votes,district
Adair,SOUTHWEST 1,Cindy O'Laughlin,283,18
Adair,SOUTHEAST 2,Cindy O'Laughlin,635,18
Adair,SOUTHEAST 3,Cindy O'Laughlin,194,18
Adair,SOUTHEAST 4,Cindy O'Laughlin,325,18
Adair,NORTHEAST 5,Cindy O'Laughlin,396,18
Adair,NORTHEAST 6,Cindy O'Laughlin,520,18
Adair,TSU,Cindy O'Laughlin,69,18
Adair,RURAL BENTON,Cindy O'Laughlin,960,18
Adair,BRASHEAR,Cindy O'Laughlin,527,18
Adair,NOVINGER,Cindy O'Laughlin,628,18
Adair,ABSENTEE,Cindy O'Laughlin,600,18
Adair,FEDERAL,Cindy O'Laughlin,0,18
Adair,SOUTHWEST 1,Crystal Stephens,217,18
Adair,SOUTHEAST 2,Crystal Stephens,454,18
Adair,SOUTHEAST 3,Crystal Stephens,331,18
Adair,SOUTHEAST 4,Crystal Stephens,393,18
Adair,NORTHEAST 5,Crystal Stephens,265,18
Adair,NORTHEAST 6,Crystal Stephens,354,18
Adair,TSU,Crystal Stephens,203,18
Adair,RURAL BENTON,Crystal Stephens,408,18
Adair,BRASHEAR,Crystal Stephens,163,18
Adair,NOVINGER,Crystal Stephens,168,18
Adair,ABSENTEE,Crystal Stephens,425,18
Adair,FEDERAL,Crystal Stephens,0,18
Andrew,LINCOLN,Dan Hegeman,354,12
Andrew,ROCHESTER,Dan Hegeman,275,12
Andrew,HELENA,Dan Hegeman,203,12
Andrew,EAST MONROE,Dan Hegeman,145,12
Andrew,WEST MONROE,Dan Hegeman,191,12
Andrew,CLAY/FILLMORE,Dan Hegeman,313,12
Andrew,NE/SE,Dan Hegeman,979,12
Andrew,NW/SW,Dan Hegeman,833,12
Andrew,BEELER/JG/CC,Dan Hegeman,1556,12
Andrew,BOLCKOW/RDALE/WPLT,Dan Hegeman,398,12
Andrew,EPLATTE/EEMPIRE,Dan Hegeman,164,12
Andrew,ABSENTEE,Dan Hegeman,364,12
Andrew,LINCOLN,Terry Richard,97,12
Andrew,ROCHESTER,Terry Richard,56,12
Andrew,HELENA,Terry Richard,52,12
